series,id,name,page
02107,PNOA-MDT25-ETRS89-HU29-0001-LID.asc,9072660,1
02107,PNOA-MDT25-ETRS89-HU29-0002-LID.asc,9072661,1
02107,PNOA-MDT25-ETRS89-HU29-0003-LID.asc,9072662,1
02107,PNOA-MDT25-ETRS89-HU29-0006-LID.asc,9072663,1
02107,PNOA-MDT25-ETRS89-HU29-0007-LID.asc,9072664,1
02107,PNOA-MDT25-ETRS89-HU29-0008-LID.asc,9072665,1
02107,PNOA-MDT25-ETRS89-HU29-0009-LID.asc,9072666,1
02107,PNOA-MDT25-ETRS89-HU29-0010-LID.asc,9072667,1
02107,PNOA-MDT25-ETRS89-HU29-0011-LID.asc,9072668,1
02107,PNOA-MDT25-ETRS89-HU29-0012-LID.asc,9072669,1
02107,PNOA-MDT25-ETRS89-HU29-0013-LID.asc,9072670,1
02107,PNOA-MDT25-ETRS89-HU29-0020-LID.asc,9072671,1
02107,PNOA-MDT25-ETRS89-HU29-0021-LID.asc,9072672,1
02107,PNOA-MDT25-ETRS89-HU29-0022-LID.asc,9072673,1
02107,PNOA-MDT25-ETRS89-HU29-0023-LID.asc,9072674,1
02107,PNOA-MDT25-ETRS89-HU29-0024-LID.asc,9072675,1
02107,PNOA-MDT25-ETRS89-HU29-0025-LID.asc,9072676,1
02107,PNOA-MDT25-ETRS89-HU29-0026-LID.asc,9072677,1
02107,PNOA-MDT25-ETRS89-HU29-0027-LID.asc,9072678,1
02107,PNOA-MDT25-ETRS89-HU29-0028-LID.asc,9072679,1
02107,PNOA-MDT25-ETRS89-HU29-0043-LID.asc,9072680,1
02107,PNOA-MDT25-ETRS89-HU29-0044-LID.asc,9072681,1
02107,PNOA-MDT25-ETRS89-HU29-0045-LID.asc,9072682,1
02107,PNOA-MDT25-ETRS89-HU29-0046-LID.asc,9072683,1
02107,PNOA-MDT25-ETRS89-HU29-0047-LID.asc,9072684,1
02107,PNOA-MDT25-ETRS89-HU29-0048-LID.asc,9072685,1
02107,PNOA-MDT25-ETRS89-HU29-0049-LID.asc,9072686,1
02107,PNOA-MDT25-ETRS89-HU29-0050-LID.asc,9072687,1
02107,PNOA-MDT25-ETRS89-HU29-0051-LID.asc,9072688,1
02107,PNOA-MDT25-ETRS89-HU29-0052-LID.asc,9072689,1
02107,PNOA-MDT25-ETRS89-HU29-0067-LID.asc,9072690,1
02107,PNOA-MDT25-ETRS89-HU29-0068-LID.asc,9072691,1
02107,PNOA-MDT25-ETRS89-HU29-0069-LID.asc,9072692,1
02107,PNOA-MDT25-ETRS89-HU29-0070-LID.asc,9072693,1
02107,PNOA-MDT25-ETRS89-HU29-0071-LID.asc,9072694,1
02107,PNOA-MDT25-ETRS89-HU29-0072-LID.asc,9072695,1
02107,PNOA-MDT25-ETRS89-HU29-0073-LID.asc,9072696,1
02107,PNOA-MDT25-ETRS89-HU29-0074-LID.asc,9072697,1
02107,PNOA-MDT25-ETRS89-HU29-0075-LID.asc,9072698,1
02107,PNOA-MDT25-ETRS89-HU29-0076-LID.asc,9072699,1
02107,PNOA-MDT25-ETRS89-HU29-0077-LID.asc,9072700,1
02107,PNOA-MDT25-ETRS89-HU29-0092-LID.asc,9072701,1
02107,PNOA-MDT25-ETRS89-HU29-0093-LID.asc,9072702,1
02107,PNOA-MDT25-ETRS89-HU29-0094-LID.asc,9072703,1
02107,PNOA-MDT25-ETRS89-HU29-0095-LID.asc,9072704,1
02107,PNOA-MDT25-ETRS89-HU29-0096-LID.asc,9072705,1
02107,PNOA-MDT25-ETRS89-HU29-0097-LID.asc,9072706,1
02107,PNOA-MDT25-ETRS89-HU29-0098-LID.asc,9072707,1
02107,PNOA-MDT25-ETRS89-HU29-0099-LID.asc,9072708,1
02107,PNOA-MDT25-ETRS89-HU29-0100-LID.asc,9072709,1
02107,PNOA-MDT25-ETRS89-HU29-0101-LID.asc,9072710,2
02107,PNOA-MDT25-ETRS89-HU29-0102-LID.asc,9072711,2
02107,PNOA-MDT25-ETRS89-HU29-0119-LID.asc,9072712,2
02107,PNOA-MDT25-ETRS89-HU29-0120-LID.asc,9072713,2
02107,PNOA-MDT25-ETRS89-HU29-0121-LID.asc,9072714,2
02107,PNOA-MDT25-ETRS89-HU29-0122-LID.asc,9072715,2
02107,PNOA-MDT25-ETRS89-HU29-0123-LID.asc,9072716,2
02107,PNOA-MDT25-ETRS89-HU29-0124-LID.asc,9072717,2
02107,PNOA-MDT25-ETRS89-HU29-0125-LID.asc,9072718,2
02107,PNOA-MDT25-ETRS89-HU29-0126-LID.asc,9072719,2
02107,PNOA-MDT25-ETRS89-HU29-0127-LID.asc,9072720,2
02107,PNOA-MDT25-ETRS89-HU29-0128-LID.asc,9072721,2
02107,PNOA-MDT25-ETRS89-HU29-0151-LID.asc,9072722,2
02107,PNOA-MDT25-ETRS89-HU29-0152-LID.asc,9072723,2
02107,PNOA-MDT25-ETRS89-HU29-0153-LID.asc,9072724,2
02107,PNOA-MDT25-ETRS89-HU29-0154-LID.asc,9072725,2
02107,PNOA-MDT25-ETRS89-HU29-0155-LID.asc,9072726,2
02107,PNOA-MDT25-ETRS89-HU29-0156-LID.asc,9072727,2
02107,PNOA-MDT25-ETRS89-HU29-0157-LID.asc,9072728,2
02107,PNOA-MDT25-ETRS89-HU29-0158-LID.asc,9072729,2
02107,PNOA-MDT25-ETRS89-HU29-0159-LID.asc,9072730,2
02107,PNOA-MDT25-ETRS89-HU29-0160-LID.asc,9072731,2
02107,PNOA-MDT25-ETRS89-HU29-0184-LID.asc,9072732,2
02107,PNOA-MDT25-ETRS89-HU29-0185-LID.asc,9072733,2
02107,PNOA-MDT25-ETRS89-HU29-0186-LID.asc,9072734,2
02107,PNOA-MDT25-ETRS89-HU29-0187-LID.asc,9072735,2
02107,PNOA-MDT25-ETRS89-HU29-0188-LID.asc,9072736,2
